,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
0,1,2,0,1270,9,2008,0,0,0,0,0,0,0
1,2,0,0,570,11,2007,1,13,2010,1,4,7,10
2,3,0,0,14130,12,2006,1,14,2011,1,4,7,10
3,4,2,2,620,9,2009,0,0,0,0,0,0,0
4,5,0,0,29910,4,2015,0,0,0,0,0,0,0
5,6,0,0,310,12,2013,0,0,0,0,0,0,0
6,7,0,2,24000,4,2013,0,0,0,0,0,0,0
7,8,0,0,7520,10,2014,0,0,0,0,0,0,0
8,9,0,2,2030,8,2000,0,0,0,0,0,0,0
9,10,0,0,3160,9,2009,0,0,0,0,0,0,0
10,11,0,2,960,11,2011,1,1,2012,1,4,7,10
11,12,0,2,1070,1,1990,1,13,2010,1,4,7,10
12,13,3,0,310,1,1990,1,45,2009,2,5,8,11
13,14,0,0,1300,3,2014,1,40,2011,1,4,7,10
14,15,3,2,4110,3,2010,1,14,2011,1,4,7,10
15,16,0,2,3270,1,1990,0,0,0,0,0,0,0
16,17,0,0,50,12,2005,1,26,2010,1,4,7,10
17,18,3,2,13840,6,2010,1,14,2012,1,4,7,10
18,19,0,2,3240,1,1990,1,22,2011,3,6,9,12
19,20,3,0,2340,5,2009,1,40,2014,1,4,7,10
20,21,2,2,550,10,1999,1,45,2009,1,4,7,10
21,22,0,0,1040,1,1990,1,22,2012,1,4,7,10
22,23,3,0,4060,8,2005,0,0,0,0,0,0,0
23,24,0,2,4590,3,2000,1,40,2011,1,4,7,10
24,25,2,0,430,4,2003,0,0,0,0,0,0,0
25,26,3,0,2300,1,1990,0,0,0,0,0,0,0
26,27,0,0,60,1,2005,1,5,2011,1,4,7,10
27,28,0,0,1200,10,2014,1,6,2015,3,6,9,12
28,29,3,2,2170,1,1990,0,0,0,0,0,0,0
29,30,0,0,40,2,2014,1,10,2014,3,6,9,12
30,31,3,2,9800,7,2012,0,0,0,0,0,0,0
31,32,0,0,2910,1,1990,1,45,2009,2,5,8,11
32,33,0,2,1320,5,2013,0,0,0,0,0,0,0
33,34,2,0,2240,9,2009,0,0,0,0,0,0,0
34,35,3,2,7660,10,2000,1,1,2012,1,4,7,10
35,36,0,2,540,6,2003,1,40,2014,1,4,7,10
36,37,2,0,4230,12,2014,0,0,0,0,0,0,0
37,38,3,0,1090,4,2007,0,0,0,0,0,0,0
38,39,0,0,260,10,2006,1,31,2013,2,5,8,11
39,40,0,0,180,1,1990,1,45,2009,2,5,8,11
40,41,3,2,1180,1,1990,1,31,2013,1,4,7,10
41,42,0,2,290,1,1990,1,40,2011,1,4,7,10
42,43,3,0,4880,1,1990,1,37,2009,1,4,7,10
43,44,0,0,540,6,2011,0,0,0,0,0,0,0
44,45,3,0,9710,2,2014,0,0,0,0,0,0,0
45,46,2,0,1200,9,2005,1,14,2011,1,4,7,10
46,47,0,2,270,4,2013,1,14,2013,1,4,7,10
47,48,0,0,1060,5,2012,0,0,0,0,0,0,0
48,49,3,2,18010,9,2007,0,0,0,0,0,0,0
49,50,3,0,6260,11,2009,0,0,0,0,0,0,0
50,51,0,2,10570,7,2013,1,9,2011,1,4,7,10
51,52,3,2,450,4,2014,1,39,2010,1,4,7,10
52,53,0,2,30360,9,2013,0,0,0,0,0,0,0
53,54,3,2,7170,8,2014,1,5,2013,2,5,8,11
54,55,0,0,720,11,2004,0,0,0,0,0,0,0
55,56,3,2,6620,3,2012,1,10,2014,3,6,9,12
56,57,3,2,420,6,2014,0,0,0,0,0,0,0
57,58,0,2,7340,5,2008,1,27,2012,1,4,7,10
58,59,0,2,2840,6,2007,1,14,2011,1,4,7,10
59,60,3,2,5540,10,2009,0,0,0,0,0,0,0
60,61,0,2,350,12,2007,1,1,2012,1,4,7,10
61,62,0,0,2050,1,1990,0,0,0,0,0,0,0
62,63,2,2,3700,6,2010,1,18,2010,2,5,8,11
63,64,3,2,22560,1,1990,1,14,2013,1,4,7,10
64,65,0,2,13840,5,2010,1,1,2012,1,4,7,10
65,66,3,0,7660,1,1990,1,37,2009,1,4,7,10
66,67,0,2,410,2,2006,0,0,0,0,0,0,0
67,68,0,2,250,1,1990,1,35,2012,3,6,9,12
68,69,2,2,1130,1,1990,1,40,2011,1,4,7,10
69,70,2,2,4840,1,1990,0,0,0,0,0,0,0
70,71,0,0,17500,8,2008,1,37,2009,3,6,9,12
71,72,0,0,2200,12,2009,1,13,2010,1,4,7,10
72,73,0,2,1650,9,2008,0,0,0,0,0,0,0
73,74,0,0,330,1,1990,0,0,0,0,0,0,0
74,75,3,2,22440,12,2013,0,0,0,0,0,0,0
75,76,3,2,19960,3,2006,0,0,0,0,0,0,0
76,77,3,2,1090,8,2009,1,10,2014,1,4,7,10
77,78,0,0,3510,11,2006,1,5,2013,2,5,8,11
78,79,0,0,3320,1,1990,0,0,0,0,0,0,0
79,80,3,0,7910,1,1990,0,0,0,0,0,0,0
80,81,0,0,2370,3,2011,1,40,2014,1,4,7,10
81,82,0,0,22390,4,2008,1,37,2009,1,4,7,10
82,83,0,0,2710,1,1990,0,0,0,0,0,0,0
83,84,0,2,11810,8,2014,0,0,0,0,0,0,0
84,85,1,0,1870,10,2011,0,0,0,0,0,0,0
85,86,0,0,480,2,2005,1,31,2013,1,4,7,10
86,87,0,0,560,12,2010,0,0,0,0,0,0,0
87,88,0,0,10690,10,2005,0,0,0,0,0,0,0
88,89,0,0,2380,7,2004,1,40,2014,1,4,7,10
89,90,0,0,330,11,2007,0,0,0,0,0,0,0
90,91,2,0,2410,1,1990,1,35,2011,1,4,7,10
91,92,2,0,240,1,1990,1,45,2009,2,5,8,11
92,93,0,0,16690,1,1990,1,14,2011,1,4,7,10
93,94,3,2,14620,1,1990,0,0,0,0,0,0,0
94,95,0,0,1890,10,2014,0,0,0,0,0,0,0
95,96,0,0,8780,2,2005,1,37,2009,1,4,7,10
96,97,3,2,8980,1,1990,0,0,0,0,0,0,0
97,98,3,2,15140,12,2006,1,1,2012,1,4,7,10
98,99,2,2,2030,11,2003,1,22,2012,3,6,9,12
99,100,3,0,17930,1,1990,0,0,0,0,0,0,0
100,101,3,2,2440,1,1990,1,22,2012,3,6,9,12
101,102,0,0,150,12,2007,1,10,2014,3,6,9,12
102,103,3,2,5210,5,2015,0,0,0,0,0,0,0
103,104,0,0,390,6,2009,0,0,0,0,0,0,0
104,105,0,2,6190,1,1990,1,23,2013,3,6,9,12
105,106,0,0,1390,8,2013,0,0,0,0,0,0,0
106,107,0,0,1930,9,2009,0,0,0,0,0,0,0
107,108,3,2,2190,9,2003,0,0,0,0,0,0,0
108,109,0,2,3300,11,2010,0,0,0,0,0,0,0
109,110,0,2,46590,4,2013,0,0,0,0,0,0,0
110,111,3,2,7890,1,1990,1,37,2009,1,4,7,10
111,112,0,0,1630,9,2009,0,0,0,0,0,0,0
112,113,3,2,20930,11,1999,0,0,0,0,0,0,0
113,114,2,0,4510,1,1990,1,48,2011,3,6,9,12
114,115,3,2,5740,4,2007,1,40,2014,1,4,7,10
115,116,0,0,680,4,2013,0,0,0,0,0,0,0
116,117,0,0,3450,9,2011,0,0,0,0,0,0,0
117,118,3,2,3580,9,2012,0,0,0,0,0,0,0
118,119,0,2,2100,2,2010,0,0,0,0,0,0,0
119,120,3,0,2290,12,2014,1,37,2009,1,4,7,10
120,121,0,0,3570,11,2009,1,36,2013,3,6,9,12
121,122,0,2,58260,4,2013,0,0,0,0,0,0,0
122,123,0,0,16760,9,2011,0,0,0,0,0,0,0
123,124,0,0,1410,4,2003,0,0,0,0,0,0,0
124,125,0,0,760,12,2005,0,0,0,0,0,0,0
125,126,3,0,3370,10,2014,1,18,2011,2,5,8,11
126,127,3,0,1350,12,2005,1,13,2010,1,4,7,10
127,128,3,2,2000,1,1990,1,1,2013,1,4,7,10
128,129,0,0,2460,1,1990,1,14,2011,1,4,7,10
129,130,2,0,900,1,1990,1,13,2010,1,4,7,10
130,131,2,0,920,7,2015,0,0,0,0,0,0,0
131,132,3,2,1040,1,1990,1,27,2012,1,4,7,10
132,133,0,0,270,8,2013,1,10,2014,3,6,9,12
133,134,0,0,1200,9,2008,0,0,0,0,0,0,0
134,135,3,0,5190,1,1990,1,1,2013,1,4,7,10
135,136,0,2,2200,12,2010,1,22,2012,2,5,8,11
136,137,0,0,1730,7,2015,1,40,2014,1,4,7,10
137,138,0,2,25360,10,2014,0,0,0,0,0,0,0
138,139,0,0,1700,1,2008,1,14,2011,1,4,7,10
139,140,0,2,1090,7,2010,1,1,2013,1,4,7,10
140,141,2,2,1540,1,1990,1,22,2012,3,6,9,12
141,142,0,0,1090,7,2002,0,0,0,0,0,0,0
142,143,3,0,2930,12,2002,0,0,0,0,0,0,0
143,144,0,2,16570,1,1990,0,0,0,0,0,0,0
144,145,0,0,280,1,1990,1,45,2009,2,5,8,11
145,146,3,2,8050,10,1961,1,48,2012,1,4,7,10
146,147,3,2,8540,1,1990,0,0,0,0,0,0,0
147,148,0,0,2090,12,2008,0,0,0,0,0,0,0
148,149,3,0,2610,7,2006,1,14,2011,1,4,7,10
149,150,2,2,31830,3,2010,0,0,0,0,0,0,0
150,151,3,2,4360,10,2005,0,0,0,0,0,0,0
151,152,0,0,1780,1,1990,0,0,0,0,0,0,0
152,153,0,0,16240,10,2000,1,18,2011,2,5,8,11
153,154,3,2,16420,1,1990,0,0,0,0,0,0,0
154,155,3,0,3050,1,1990,1,35,2010,1,4,7,10
155,156,0,0,2020,2,2011,1,14,2011,3,6,9,12
156,157,0,2,2950,10,2004,0,0,0,0,0,0,0
157,158,3,2,11840,1,1990,1,31,2009,2,5,8,11
158,159,3,0,8530,3,2013,0,0,0,0,0,0,0
159,160,3,2,17110,11,2005,0,0,0,0,0,0,0
160,161,0,2,2970,3,2005,0,0,0,0,0,0,0
161,162,3,2,5340,3,2012,1,13,2010,1,4,7,10
162,163,0,0,1480,4,2009,0,0,0,0,0,0,0
163,164,0,0,1160,9,2005,1,13,2010,1,4,7,10
164,165,0,0,3720,4,2005,1,13,2010,1,4,7,10
165,166,0,2,100,4,2014,1,31,2013,1,4,7,10
166,167,0,0,140,4,2008,0,0,0,0,0,0,0
167,168,0,0,12540,1,1990,0,0,0,0,0,0,0
168,169,3,0,980,7,2014,1,18,2014,2,5,8,11
169,170,0,0,1070,5,2015,1,14,2011,1,4,7,10
170,171,0,0,2640,1,1990,0,0,0,0,0,0,0
171,172,0,0,110,1,1990,1,40,2014,1,4,7,10
172,173,0,0,350,12,2012,0,0,0,0,0,0,0
173,174,0,0,13090,1,1990,1,22,2012,1,4,7,10
174,175,2,0,4130,1,1990,0,0,0,0,0,0,0
175,176,0,0,3770,1,1990,0,0,0,0,0,0,0
176,177,0,0,1250,2,2004,1,5,2013,2,5,8,11
177,178,3,0,1710,1,1990,0,0,0,0,0,0,0
178,179,0,2,480,1,1990,0,0,0,0,0,0,0
179,180,3,0,5800,9,2010,0,0,0,0,0,0,0
180,181,0,0,12610,3,2013,1,14,2011,1,4,7,10
181,182,3,2,1390,1,1990,1,9,2011,3,6,9,12
182,183,0,0,9670,1,1990,0,0,0,0,0,0,0
183,184,3,2,3560,1,1990,0,0,0,0,0,0,0
184,185,3,2,1860,5,2015,0,0,0,0,0,0,0
185,186,0,0,290,10,2011,1,40,2014,1,4,7,10
186,187,0,2,19360,1,1990,0,0,0,0,0,0,0
187,188,3,0,850,1,1990,1,18,2011,2,5,8,11
188,189,3,0,5760,7,2014,0,0,0,0,0,0,0
189,190,0,0,1470,12,2006,1,40,2014,1,4,7,10
190,191,0,0,1100,8,2013,1,40,2014,1,4,7,10
191,192,3,2,2770,3,2008,1,40,2014,1,4,7,10
192,193,0,0,520,1,1990,0,0,0,0,0,0,0
193,194,3,2,16970,1,1990,1,5,2013,2,5,8,11
194,195,0,2,220,1,1990,0,0,0,0,0,0,0
195,196,2,0,3850,11,2005,1,14,2011,1,4,7,10
196,197,2,0,4210,3,2015,0,0,0,0,0,0,0
197,198,0,0,290,9,2002,1,13,2010,1,4,7,10
198,199,3,2,6360,12,2010,1,14,2012,3,6,9,12
199,200,0,0,1650,10,2000,0,0,0,0,0,0,0
200,201,3,0,20260,1,1990,1,18,2014,3,6,9,12
201,202,3,2,5140,5,2010,0,0,0,0,0,0,0
202,203,2,2,490,11,2002,0,0,0,0,0,0,0
203,204,0,0,5630,12,2002,1,40,2014,1,4,7,10
204,205,0,0,110,12,2007,0,0,0,0,0,0,0
205,206,0,2,380,1,1990,1,14,2012,1,4,7,10
206,207,0,0,6870,1,1990,0,0,0,0,0,0,0
207,208,2,0,300,4,2006,0,0,0,0,0,0,0
208,209,0,2,11680,9,2011,1,31,2013,1,4,7,10
209,210,3,0,970,11,1999,1,5,2013,2,5,8,11
210,211,0,2,350,11,2006,0,0,0,0,0,0,0
211,212,0,2,15050,9,2008,0,0,0,0,0,0,0
212,213,3,2,4030,3,2014,1,1,2014,1,4,7,10
213,214,3,0,8650,7,2013,1,10,2014,1,4,7,10
214,215,3,0,150,1,1990,1,45,2009,2,5,8,11
215,216,2,0,190,1,1990,1,45,2009,2,5,8,11
216,217,2,0,3150,1,1990,0,0,0,0,0,0,0
217,218,0,2,640,1,1990,1,9,2011,3,6,9,12
218,219,0,0,1640,2,2013,0,0,0,0,0,0,0
219,220,0,0,1000,9,2008,0,0,0,0,0,0,0
220,221,3,2,13530,9,2013,0,0,0,0,0,0,0
221,222,0,0,2170,11,2008,0,0,0,0,0,0,0
222,223,3,2,2920,10,1995,1,27,2011,1,4,7,10
223,224,3,2,7930,1,1990,1,1,2013,1,4,7,10
224,225,3,0,10180,5,2015,0,0,0,0,0,0,0
225,226,0,0,450,1,1990,0,0,0,0,0,0,0
226,227,0,0,2370,1,1990,0,0,0,0,0,0,0
227,228,3,2,10800,1,1990,1,18,2011,2,5,8,11
228,229,3,2,17410,4,2007,1,14,2011,1,4,7,10
229,230,3,2,6680,9,2013,0,0,0,0,0,0,0
230,231,3,2,3840,10,2008,1,39,2010,2,5,8,11
231,232,2,2,13570,5,2010,1,10,2013,3,6,9,12
232,233,0,0,1890,1,1990,0,0,0,0,0,0,0
233,234,3,0,4370,1,1990,0,0,0,0,0,0,0
234,235,0,0,5710,3,2012,1,37,2009,1,4,7,10
235,236,0,0,1000,11,2007,0,0,0,0,0,0,0
236,237,0,0,1420,11,2007,0,0,0,0,0,0,0
237,238,0,0,320,1,1990,1,45,2009,2,5,8,11
238,239,3,2,610,1,1990,0,0,0,0,0,0,0
239,240,0,0,1110,5,2009,0,0,0,0,0,0,0
240,241,3,2,780,1,1990,0,0,0,0,0,0,0
241,242,3,0,6880,9,2001,1,14,2011,1,4,7,10
242,243,0,0,310,1,1990,1,5,2013,2,5,8,11
243,244,3,0,710,3,2012,1,1,2012,1,4,7,10
244,245,0,2,1310,1,1990,0,0,0,0,0,0,0
245,246,2,0,4660,4,2013,0,0,0,0,0,0,0
246,247,3,2,70,11,2010,1,5,2013,2,5,8,11
247,248,0,2,340,9,2012,1,40,2012,1,4,7,10
248,249,3,2,18010,9,2014,0,0,0,0,0,0,0
249,250,3,0,3520,1,1990,1,18,2012,2,5,8,11
250,251,0,2,340,1,1990,0,0,0,0,0,0,0
251,252,3,2,22330,1,1990,1,5,2010,2,5,8,11
252,253,0,2,250,1,1990,1,5,2013,2,5,8,11
253,254,3,0,330,3,2008,1,1,2012,3,6,9,12
254,255,2,2,4630,3,2011,1,35,2011,2,5,8,11
255,256,0,2,80,9,2005,1,10,2014,3,6,9,12
256,257,0,0,420,12,2012,0,0,0,0,0,0,0
257,258,0,0,27190,7,2010,1,37,2009,1,4,7,10
258,259,1,1,210,1,1990,0,0,0,0,0,0,0
259,260,0,0,540,10,2011,0,0,0,0,0,0,0
260,261,3,2,15340,4,2015,1,39,2009,1,4,7,10
261,262,1,0,1180,5,2013,0,0,0,0,0,0,0
262,263,0,2,1140,5,2013,1,40,2014,1,4,7,10
263,264,0,0,180,3,2014,0,0,0,0,0,0,0
264,265,0,0,4580,1,1990,1,14,2015,1,4,7,10
265,266,0,2,360,3,2014,1,9,2011,3,6,9,12
266,267,2,0,2460,1,2012,0,0,0,0,0,0,0
267,268,0,0,4520,2,2014,0,0,0,0,0,0,0
268,269,0,2,60,6,2015,0,0,0,0,0,0,0
269,270,0,0,1450,7,2014,0,0,0,0,0,0,0
270,271,0,0,420,1,1990,1,14,2011,1,4,7,10
271,272,0,0,16180,7,2003,1,14,2011,1,4,7,10
272,273,0,2,8480,1,1990,0,0,0,0,0,0,0
273,274,1,1,3640,1,1990,1,10,2013,1,4,7,10
274,275,3,0,300,5,2014,1,40,2014,1,4,7,10
275,276,0,0,2960,10,2014,1,36,2013,3,6,9,12
276,277,3,2,7840,1,1990,1,31,2009,2,5,8,11
277,278,0,2,9260,2,2010,0,0,0,0,0,0,0
278,279,3,2,2320,1,1990,1,40,2012,1,4,7,10
279,280,3,2,18640,9,2013,1,10,2014,3,6,9,12
280,281,3,2,6970,9,2011,0,0,0,0,0,0,0
281,282,0,0,1220,12,2010,0,0,0,0,0,0,0
282,283,0,0,2260,1,1990,1,40,2014,1,4,7,10
283,284,3,0,1290,1,1990,1,40,2014,1,4,7,10
284,285,0,0,2410,1,1990,0,0,0,0,0,0,0
285,286,0,0,1460,4,2015,0,0,0,0,0,0,0
286,287,2,0,2740,5,2009,1,40,2014,1,4,7,10
287,288,3,0,800,1,1990,1,14,2011,3,6,9,12
288,289,3,0,6540,12,2007,0,0,0,0,0,0,0
289,290,0,0,4150,5,2001,0,0,0,0,0,0,0
290,291,3,0,2325,1,1990,0,0,0,0,0,0,0
291,292,0,0,1100,6,2009,0,0,0,0,0,0,0
292,293,2,2,140,11,2007,0,0,0,0,0,0,0
293,294,0,0,3150,5,2005,0,0,0,0,0,0,0
294,295,0,0,210,11,2000,1,36,2013,3,6,9,12
295,296,0,0,9580,5,2007,1,45,2014,2,5,8,11
296,297,0,0,2300,9,2010,0,0,0,0,0,0,0
297,298,3,0,19840,7,2009,0,0,0,0,0,0,0
298,299,3,2,38630,9,2012,0,0,0,0,0,0,0
299,300,0,2,120,4,2009,1,1,2012,1,4,7,10
300,301,0,2,4510,3,2015,0,0,0,0,0,0,0
301,302,3,2,2190,12,2007,1,9,2011,3,6,9,12
302,303,0,0,15430,11,2012,1,18,2011,2,5,8,11
303,304,0,0,1950,7,2015,0,0,0,0,0,0,0
304,305,2,2,2470,2,2005,1,31,2013,3,6,9,12
305,306,0,0,5100,4,2007,1,40,2014,1,4,7,10
306,307,0,0,18660,9,2002,0,0,0,0,0,0,0
